income,loan_amount,interest_rate,previous_loan_status,loan_approved,default_risk_score
1533382,1236397,8.99,1,0,56.17
1279111,620819,8.39,1,1,39.76
1196107,857040,9.36,0,0,52.83
1624289,393130,11.33,0,0,33.51
1038688,1087886,6.21,1,0,61.19
551279,396140,7.73,1,1,48.04
1113910,107676,10.08,1,1,22.35
1850237,1149044,8.16,0,0,46.39
1896548,1083388,14.91,0,0,56.74
689570,737823,9.31,1,1,75.03
1705127,999167,13.7,1,0,56.95
1521685,1036210,13.97,0,0,62.75
224538,501989,13.36,1,0,100.0
1094498,869555,5.47,1,1,49.65
401664,715078,14.48,0,0,100.0
691234,1094281,6.29,0,0,87.11
339182,767997,5.34,0,0,100.0
1721101,1029874,9.14,1,0,46.05
1406914,97599,6.95,0,0,21.18
384064,198469,6.84,1,0,43.71
414020,290270,7.88,1,0,54.28
1239577,1143982,7.48,1,0,60.27
823094,1166136,11.85,0,0,98.68
1097421,566394,6.87,1,1,35.53
815270,570112,10.43,1,1,57.35
1894490,1243151,14.86,1,0,66.9
1367752,1153519,9.32,1,0,63.36
1117710,1174415,11.42,1,0,73.16
1466702,656962,14.69,1,0,53.95
418969,599633,6.38,0,0,82.27
322409,1348071,9.19,1,0,100.0
1796283,1148966,13.5,1,0,61.15
453618,371701,14.32,1,0,66.4
969598,1032558,11.01,0,0,71.38
1298591,1100482,6.43,0,0,55.75
972838,1007671,14.01,1,0,81.02
1370672,582249,6.74,0,0,30.23
1879923,1255788,8.53,1,0,45.5
1433916,955721,8.76,1,1,54.67
1359263,239773,9.47,1,1,23.91
1074371,1438287,12.9,0,0,93.58
1659933,392808,13.02,0,0,42.41
935716,1179775,12.2,1,0,87.56
1354454,149764,5.22,1,1,12.37
1975846,1220933,10.65,1,0,51.13
1173548,1441449,12.47,1,0,87.59
1446862,471777,9.45,1,1,37.83
973290,362712,14.45,0,0,48.6
1413475,945781,13.24,1,0,55.28
1573343,909734,11.38,0,0,48.1
1199238,1062884,5.62,0,0,54.27
1061882,210576,11.52,1,1,35.01
579989,660682,14.12,1,0,86.04
615515,963605,8.79,1,1,91.3
243585,962374,13.38,1,0,100.0
1619945,66939,8.13,0,0,19.38
264044,493931,10.7,1,0,100.0
1160061,356604,11.48,1,1,37.51
642296,249294,11.78,0,0,42.87
309556,980170,13.83,1,0,100.0
1775557,112119,7.35,1,1,20.08
967595,740681,7.62,1,1,56.04
400235,1242834,12.04,1,0,100.0
225939,1053750,6.77,1,0,100.0
1401482,1317403,9.64,1,0,67.64
742335,1365777,5.2,1,0,100.0
1536825,1028167,6.41,1,0,49.61
275766,199805,11.79,1,0,55.36
608923,200685,12.47,1,0,36.8
1663768,427224,6.15,0,0,21.16
768550,529498,7.28,1,1,46.03
587261,1234836,5.99,1,0,100.0
1010208,288178,9.33,0,0,28.64
885440,309418,6.26,1,1,28.05
1901240,79680,9.37,0,0,16.83
1184346,284433,12.32,0,0,39.67
1703165,414446,11.83,1,1,31.37
337848,517616,7.8,1,0,96.28
817075,498934,11.74,1,1,57.72
327948,610733,14.28,0,0,100.0
1827880,1097725,8.48,1,0,42.7
602690,1499915,8.29,0,0,100.0
699046,713582,10.71,1,1,73.05
651269,860506,7.46,1,1,81.99
221959,873271,11.52,1,0,100.0
1909466,963946,13.32,0,0,49.85
1998792,642610,9.59,1,1,35.57
428576,892753,11.8,1,0,100.0
1215602,1070004,11.52,0,0,71.39
1786409,469204,5.39,0,0,22.74
1114091,871939,6.83,1,1,49.99
365838,149244,13.94,1,0,44.74
1584250,437932,14.39,1,0,43.92
261087,1455971,12.8,0,0,100.0
1213343,1228940,14.21,1,0,75.95
1841704,452968,8.06,1,1,26.18
318451,1298641,7.48,1,0,100.0
1696176,102127,8.84,1,1,21.95
639792,1042281,5.55,1,0,89.3
239353,911864,13.1,1,0,100.0
393075,1371696,14.84,1,0,100.0
1462859,149122,13.24,1,0,31.46
1563453,382548,10.55,0,0,34.88
265318,1442652,7.95,1,0,100.0
965313,671458,6.98,0,0,50.36
1731266,1438427,8.64,1,0,57.05
616880,1316488,11.67,1,0,100.0
791460,1334427,9.47,1,0,100.0
940976,1454509,14.34,0,0,100.0
981239,670804,13.54,0,0,59.23
1341840,557750,6.02,0,0,28.25
970746,1206300,6.32,0,0,76.62
1013168,448008,11.76,1,1,43.25
425281,1373957,7.31,1,0,100.0
1220545,1049291,12.91,0,0,65.91
1885723,749495,10.91,0,0,41.99
1098613,297541,7.3,1,1,30.5
1642646,1081328,9.79,1,0,56.2
1600804,678935,9.06,1,1,35.89
1680415,224001,13.73,0,0,38.98
469536,1426467,5.32,1,0,100.0
517824,367455,13.96,1,0,68.03
1506002,555329,11.52,0,0,45.0
377789,115867,12.38,0,0,43.87
1761729,138780,5.03,1,1,14.99
942452,1155772,11.28,1,0,87.33
1037291,647993,10.88,0,0,53.34
325657,894326,10.37,1,0,100.0
1483743,924072,12.86,0,0,57.49
881669,550653,10.56,1,1,57.31
1729247,326735,13.57,1,0,32.63
1967670,50727,7.33,1,1,19.01
1319043,1142398,13.06,1,0,67.16
1432310,1069051,6.79,1,0,49.51
1871370,1464119,13.13,0,0,61.18
309751,1210689,14.4,1,0,100.0
1629626,1318182,8.36,1,0,62.07
1011774,442575,10.3,1,1,41.44
1941093,440732,11.58,1,1,36.21
661079,523594,5.79,1,1,47.39
568452,204591,9.94,1,1,42.1
306081,1304179,8.61,0,0,100.0
1183237,229006,13.72,1,0,35.98
1861909,1073300,13.77,1,0,54.85
758986,1471525,12.01,1,0,100.0
310078,1048607,11.56,1,0,100.0
222671,1258488,12.34,1,0,100.0
1666976,663655,8.66,1,1,42.13
1604104,63265,9.05,1,1,23.18
1859066,1497216,10.54,1,0,59.03
251663,1396649,14.38,1,0,100.0
1264284,374036,12.24,1,0,34.43
511955,725899,10.51,0,0,91.29
1382459,368774,12.7,1,0,39.43
1566970,1320287,8.71,1,0,54.92
312547,536626,12.3,1,0,100.0
1110681,976719,9.11,1,1,59.77
1807618,1269033,7.8,0,0,52.9
1999678,705313,11.1,1,1,44.23
342483,661868,11.87,1,0,100.0
858271,389606,9.59,1,1,42.5
414835,687684,10.66,0,0,100.0
601896,1457757,11.94,1,0,100.0
284896,1193886,12.68,1,0,100.0
677095,1254656,13.96,1,0,100.0
271295,1409648,8.55,1,0,100.0
943974,788456,14.51,1,0,67.15
1087121,1188452,11.37,1,0,82.26
1521831,599264,12.88,1,0,40.62
1548224,1485704,12.0,0,0,76.32
1905738,732986,7.06,0,0,30.53
1256731,410400,5.71,1,1,29.32
1715448,1461257,12.26,1,0,65.13
1025816,240861,10.11,1,1,35.56
574705,683619,12.02,1,0,83.95
1820118,301666,9.77,1,1,24.24
1858845,1368246,8.12,1,0,50.74
754594,678151,7.85,1,1,58.84
347718,1007004,12.31,0,0,100.0
1557563,1297697,7.77,1,0,59.87
845263,385510,12.15,0,0,50.4
1607321,1047821,8.84,1,0,45.8
1208239,502333,12.71,1,0,47.0
307512,1154672,6.43,0,0,100.0
347443,907617,7.05,1,0,100.0
1719163,100248,11.86,1,1,22.84
573616,1304304,10.6,1,0,100.0
857409,1032716,7.04,1,0,76.76
886976,129888,14.03,1,0,35.52
1614447,1304930,7.76,1,0,51.72
575037,290346,9.21,1,1,39.01
1244107,668821,7.02,1,1,45.3
1007364,91954,8.88,1,1,19.9
317796,401863,9.92,1,0,81.86
1540575,714164,7.95,1,1,42.03
1441082,312739,12.69,1,0,38.12
1190198,1390312,8.94,0,0,80.97
898376,1353369,12.3,1,0,95.85
469544,374809,7.07,1,0,56.12
580002,988327,8.77,1,1,98.56
898002,318116,5.08,1,1,22.87
1788015,1376602,12.59,0,0,59.88
790978,514271,11.26,1,1,56.2
1777363,599308,13.18,1,0,44.98
1779159,1010252,9.56,1,0,46.89
1107317,414765,13.0,0,0,40.19
588215,94912,11.48,0,0,32.37
521184,62879,5.04,1,1,11.97
1671091,608086,7.54,0,0,29.69
868234,751433,9.94,1,1,63.28
578480,1436511,11.19,0,0,100.0
232711,537947,5.66,1,0,100.0
991971,708210,12.05,1,0,61.15
701157,209472,10.44,1,1,32.42
384423,848385,10.26,1,0,100.0
716349,680698,7.92,1,1,63.95
1952290,1253183,10.95,0,0,49.22
1112495,1351288,5.27,1,0,72.56
1906493,1102631,5.65,1,0,39.85
1024792,350314,12.34,0,0,43.79
1985954,1092835,8.22,0,0,46.79
333272,279016,8.47,0,0,63.19
967836,1388971,7.08,1,0,90.9
1186001,710284,9.46,1,1,49.36
902335,1146613,5.52,0,0,75.19
1007789,142115,8.0,0,0,18.28
1891985,532870,10.27,1,1,38.27
1326081,1168976,9.66,1,0,58.68
202869,413308,15.0,1,0,100.0
981474,1322033,8.89,1,0,81.12
654351,191774,8.87,1,1,30.25
1560828,943164,10.04,1,1,46.7
836584,65385,6.9,1,1,14.08
818467,998729,13.76,0,0,84.28
1338848,558670,10.72,1,1,40.48
238467,167369,6.92,1,0,48.17
1236685,794990,12.93,1,0,57.65
1077844,139402,5.34,1,1,16.54
680047,694062,14.83,1,0,80.93
1907923,303724,13.65,1,0,38.86
1307447,789945,10.8,1,1,53.13
1139903,1326176,6.11,1,0,65.56
328391,754397,7.15,1,0,100.0
639430,184585,7.79,1,1,28.5
1217026,820543,7.41,0,0,53.02
1859280,718695,9.98,1,1,35.07
456687,1202702,14.45,1,0,100.0
1974027,1264488,9.44,1,0,46.24
307450,1097738,11.62,0,0,100.0
371890,1217213,11.89,1,0,100.0
638741,957153,13.72,0,0,100.0
481974,667508,5.34,1,0,79.23
1648685,1124969,9.04,1,0,56.25
316381,953675,12.85,1,0,100.0
1721701,571397,13.15,0,0,43.17
1820197,842425,14.27,1,0,50.34
334508,1063845,12.03,0,0,100.0
1978226,1192226,7.45,1,0,47.97
1647687,954027,10.06,1,1,45.29
1399386,102066,5.32,1,1,18.56
1541466,423994,11.47,1,1,33.81
1822241,1114714,10.54,1,0,47.51
1040477,168558,11.67,1,1,31.86
560032,308480,14.3,1,0,58.51
1246811,487743,11.87,1,1,45.46
1618175,1369910,8.2,1,0,59.07
1909536,1176998,6.99,0,0,44.73
1998596,1061214,13.55,1,0,58.34
1079611,79086,6.94,1,1,20.75
1420412,175604,6.62,1,1,21.41
929903,1217900,7.07,1,0,76.58
245714,526785,10.09,1,0,100.0
1174339,790970,6.24,1,1,48.66
1875810,1489641,14.38,1,0,73.39
830271,53435,14.66,1,0,28.87
1715536,1258590,14.74,1,0,68.32
1960427,764995,5.39,1,1,35.08
324123,762917,14.46,1,0,100.0
1136093,425601,14.97,1,0,51.01
1554204,888821,14.42,1,0,62.19
1331565,889446,11.71,1,1,57.29
1546932,342441,12.01,1,0,37.08
1029957,618178,6.22,1,1,37.65
378274,333466,13.74,1,0,71.75
887995,610027,5.6,1,1,43.11
1573928,653841,8.18,1,1,33.44
611927,58314,14.91,1,0,36.67
989852,668119,9.22,1,1,47.58
331373,1468378,6.31,0,0,100.0
1687028,872545,14.69,1,0,55.42
315294,691462,14.84,0,0,100.0
1235362,196429,6.87,1,1,19.22
1708027,279937,13.65,1,0,32.32
848307,594653,8.9,1,1,50.29
265726,351173,8.81,1,0,81.02
341564,1362457,7.63,1,0,100.0
1626388,443186,5.45,0,0,27.4
468246,390362,7.68,1,0,60.57
1954272,829966,5.54,1,1,34.66
318015,1257147,14.24,1,0,100.0
1989250,815387,11.62,1,1,44.01
454079,291474,13.87,1,0,57.49
750929,178692,12.17,1,0,38.29
889944,812790,6.31,1,1,54.65
888105,1489131,14.41,0,0,100.0
713758,1270682,14.0,1,0,100.0
1183609,1098870,8.48,0,0,63.43
1614466,1065576,6.12,1,0,43.18
1217703,861028,12.04,1,0,54.97
645101,148185,12.28,0,0,36.08
236631,847866,13.97,1,0,100.0
1321567,108382,5.53,1,1,11.77
1252590,1398818,6.42,0,0,67.52
1521813,578943,10.98,0,0,39.6
1266646,657317,11.19,0,0,52.0
1305534,1406948,5.34,0,0,65.21
1330650,53771,8.97,0,0,23.51
1783593,1434819,10.84,1,0,58.37
1424665,1024303,12.38,1,0,59.28
397392,1066972,8.16,1,0,100.0
358823,370580,9.84,1,0,67.85
1223904,1206355,13.14,1,0,71.84
1878728,699179,14.54,1,0,49.3
1641578,829085,7.3,1,1,41.39
1982005,828760,7.53,1,1,33.31
698863,606664,14.4,1,0,69.47
567654,1086658,8.96,1,0,100.0
779036,530674,12.18,1,0,54.59
730089,1176500,11.12,0,0,100.0
1398838,603620,7.86,1,1,41.73
1691481,443145,11.54,1,1,39.89
435362,443056,11.56,1,0,71.11
1692785,139031,10.92,0,0,21.11
1802456,233024,6.0,0,0,22.83
997079,1381711,14.95,1,0,97.63
864076,1126048,9.0,0,0,81.26
419963,109946,11.38,1,0,33.47
680761,994353,13.86,1,0,98.2
1497286,1362261,9.23,1,0,66.3
420984,703525,12.74,0,0,100.0
464512,1101341,14.72,1,0,100.0
801863,355218,8.59,0,0,41.07
1517375,414939,9.05,1,1,29.65
1486125,543377,14.06,1,0,46.87
1842895,1058022,6.6,1,0,39.28
1732875,723616,5.29,1,1,27.57
1860786,416047,14.09,1,0,35.56
648982,568790,13.22,1,0,71.3
1372622,1248301,14.73,0,0,70.32
606619,89339,5.58,1,1,23.26
1280673,354543,6.56,0,0,31.92
1196161,1065109,6.05,1,0,53.12
866326,568993,11.83,1,1,55.77
849150,1044135,11.06,0,0,86.28
1478805,762932,8.59,1,1,47.53
318834,1031271,5.57,0,0,100.0
1342424,1256117,11.4,0,0,67.13
1301497,182385,10.7,1,1,24.26
905086,1499639,6.13,1,0,92.99
1899005,1042206,14.09,0,0,54.99
1954236,191002,6.99,1,1,17.47
484821,53285,12.44,1,0,33.11
255609,435781,13.85,1,0,100.0
427897,610151,10.79,1,0,96.46
1174165,1246352,7.47,0,0,65.27
1279600,986209,8.09,0,0,53.33
1225715,1431688,13.86,0,0,85.6
1318889,1152491,7.98,0,0,57.56
1638533,421687,12.46,0,0,40.45
384078,715979,14.9,1,0,100.0
1606005,1302038,15.0,1,0,74.41
661243,834278,10.33,1,1,88.38
1362208,557553,13.27,1,0,50.6
1197639,1026778,14.9,0,0,72.89
451451,423410,8.75,0,0,64.49
203051,863171,7.52,1,0,100.0
1952683,490924,6.14,0,0,25.77
1625412,1151595,6.41,1,0,52.77
1204646,1305802,13.54,1,0,77.08
1860099,1331745,10.89,1,0,60.1
1171525,581661,13.74,1,0,56.0
1970348,672215,12.89,0,0,47.71
389407,396229,11.74,1,0,72.7
649395,1216572,11.09,1,0,100.0
1149597,613508,5.48,1,1,34.94
662894,442647,13.72,1,0,63.72
1460386,581930,9.18,0,0,34.68
1157238,129971,10.6,1,1,24.49
927975,447597,5.22,1,1,32.51
273523,801943,14.36,1,0,100.0
1343052,1391502,14.03,1,0,79.08
1482417,1365502,10.43,0,0,67.51
1003451,796777,10.77,0,0,65.73
1229225,235784,12.05,1,0,31.16
1070045,1335412,7.65,1,0,80.49
422866,538161,7.22,1,0,79.84
1335248,1249110,11.74,1,0,66.41
1846711,896462,6.04,1,1,39.46
1593470,773879,9.54,1,1,39.27
1983570,1284854,9.93,1,0,54.64
228251,147469,8.81,1,0,52.08
1876345,1494315,6.85,0,0,55.41
1623286,1239325,8.55,1,0,53.04
1798809,781188,8.38,1,1,39.21
1280793,1244737,9.99,0,0,71.19
1256884,1496373,11.75,1,0,84.4
1516669,455123,14.68,1,0,47.41
383062,448825,6.44,1,0,73.34
594366,487359,13.73,1,0,66.2
944840,1121512,7.84,1,0,71.56
300235,551477,10.91,1,0,100.0
1323316,947691,10.47,1,1,59.35
578496,280596,10.57,0,0,41.82
950201,849595,12.23,1,0,65.91
1003328,832046,8.82,1,1,54.23
1243233,1275705,8.19,1,0,68.0
377247,780351,13.53,0,0,100.0
1911741,695499,7.2,1,1,32.59
729525,1483482,6.8,1,0,100.0
1232751,255671,5.16,1,1,19.97
1268632,575122,7.11,1,1,39.55
376615,344358,10.19,0,0,62.92
387628,1353446,10.39,1,0,100.0
838836,826646,7.54,1,1,66.02
573632,576701,5.72,1,1,65.38
1382991,826041,12.45,1,0,53.17
606716,939234,12.58,1,0,100.0
646438,1231753,14.98,0,0,100.0
1802239,1297752,14.0,1,0,60.19
865022,440447,14.26,1,0,53.58
741252,550850,12.98,0,0,65.35
1886293,1213473,11.16,1,0,53.19
452764,1156984,6.29,1,0,100.0
914998,1267327,11.22,1,0,86.98
1715458,166908,5.56,0,0,15.6
940427,295993,13.85,1,0,40.86
712153,1328744,9.82,1,0,100.0
267215,555421,11.97,1,0,100.0
344356,901563,5.52,1,0,100.0
403861,900712,10.34,0,0,100.0
1202168,1216374,8.01,1,0,67.75
555612,691142,7.85,1,1,78.19
1703181,287902,8.9,1,1,31.16
209435,370847,5.01,1,0,100.0
647556,524650,9.67,1,1,62.41
1948014,113079,9.87,1,1,23.92
1065264,360258,13.63,1,0,44.45
1824157,532450,9.49,1,1,32.02
278781,566379,8.64,1,0,100.0
391475,1165770,14.95,1,0,100.0
360196,162333,10.71,1,0,39.32
426507,612080,9.73,0,0,93.2
506063,95807,9.96,1,1,25.83
964121,1485986,13.09,0,0,100.0
976665,710501,8.41,1,1,55.9
1939183,678580,8.89,1,1,36.3
1369748,697272,12.56,0,0,48.71
1605478,588065,5.73,1,1,31.15
684963,1136922,13.65,1,0,100.0
1704544,891135,9.3,0,0,42.65
1567293,359963,10.81,1,1,37.55
1307677,1233493,12.57,1,0,68.92
1744548,946618,7.66,1,1,44.98
488790,597578,13.9,1,0,91.93
1090617,1473271,14.79,0,0,100.0
747337,473915,9.94,0,0,52.08
1983541,225324,14.37,1,0,34.77
1608836,693784,5.01,1,1,35.78
1841249,893521,13.94,1,0,55.15
850419,555180,8.11,1,1,51.5
633374,459824,8.11,1,1,55.41
920777,440857,7.28,1,1,38.43
1796153,247345,8.17,1,1,18.64
1620946,853051,7.13,0,0,37.56
1087225,820759,14.06,0,0,67.3
471967,1317556,13.99,1,0,100.0
391232,1375499,6.02,1,0,100.0
1552695,559163,6.43,0,0,31.38
209540,858062,13.62,1,0,100.0
1789228,942007,8.99,1,1,41.65
1646403,689724,6.69,0,0,36.52
751951,717538,10.11,1,1,72.02
1300567,463151,9.17,0,0,38.85
388751,1031226,7.19,1,0,100.0
1614902,728387,12.21,0,0,47.35
1934913,501069,11.31,1,1,38.92
818992,117359,6.0,0,0,20.07
249115,253460,14.25,1,0,78.77
1601727,1375831,10.58,1,0,61.95
943583,1261960,7.5,1,0,80.17
1440538,834681,7.06,1,1,40.51
921747,336305,6.36,1,1,27.92
1397719,955352,9.25,0,0,53.56
1963211,941255,6.36,1,1,36.79
736226,1229042,9.16,1,0,100.0
1152699,379457,6.49,1,1,27.52
553824,231446,11.57,1,1,43.64
1252576,467230,12.85,1,0,46.15
925948,461377,10.5,1,1,50.55
1087474,1499282,11.8,1,0,91.02
1604330,431691,14.38,1,0,40.2
451492,812557,11.38,1,0,100.0
1748098,1123078,8.64,1,0,51.64
691072,85757,9.49,1,1,29.8
1286880,672561,13.61,1,0,53.72
704999,632933,6.31,1,1,60.63
531593,946650,8.26,1,1,100.0
807274,371199,10.77,1,1,39.93
351836,1218391,11.76,1,0,100.0
308940,976502,12.63,0,0,100.0
1203531,1461746,8.18,0,0,73.47
1024926,382336,6.46,1,1,36.53
1514093,231549,14.55,1,0,35.22
867521,217973,5.76,1,1,20.45
1870396,796631,5.96,1,1,31.33
1079090,1150597,9.95,1,0,73.35
585777,79092,13.19,1,0,29.01
1873250,968746,12.75,1,0,49.88
751638,1467563,14.38,0,0,100.0
1865872,707191,6.42,1,1,35.95
749639,362865,8.76,1,1,40.7
812956,340655,7.82,1,1,37.24
838873,122782,13.61,1,0,35.9
1586073,933435,9.88,1,1,44.89
1456445,1462782,5.27,0,0,59.18
265953,1412227,12.08,0,0,100.0
700328,257580,8.89,0,0,38.53
203267,819032,10.31,1,0,100.0
282745,1371403,13.94,0,0,100.0
1024945,597952,7.57,0,0,39.38
357164,214244,7.4,1,0,45.17
735626,526857,7.63,1,1,51.58
331484,1162916,8.38,1,0,100.0
731831,61017,6.07,1,1,18.53
1092323,1053634,11.97,1,0,76.38
1309268,1044424,7.07,0,0,58.93
1468732,604636,14.26,1,0,51.11
1472568,321635,7.16,1,1,25.38
716771,259720,7.56,1,1,29.65
1030857,171070,7.97,1,1,23.08
763044,968472,12.69,1,0,89.57
743176,312512,9.28,1,1,44.58
891095,85010,13.19,1,0,27.42
1033727,828928,12.85,1,0,68.72
1234978,641293,14.29,1,0,59.53
1362928,87493,12.57,1,0,31.4
1069474,775155,5.52,1,1,49.95
285999,584580,13.37,0,0,100.0
1266531,733725,14.38,1,0,52.76
270640,573238,14.94,0,0,100.0
396582,984711,6.25,1,0,100.0
1992662,1200311,11.13,1,0,48.45
600573,1070021,6.99,1,0,100.0
1674271,1179347,7.63,1,0,51.1
261476,681581,12.46,1,0,100.0
1555531,1197659,14.78,1,0,68.49
1415856,1076850,10.95,1,0,64.74
875510,986780,13.51,1,0,78.5
1844044,671747,5.09,0,0,28.27
898646,448750,5.37,1,1,35.75
837144,797365,10.97,1,1,67.5
614568,1331258,8.89,0,0,100.0
1434717,478886,13.9,1,0,46.22
1098320,1029651,8.02,0,0,64.64
834736,279171,9.32,1,1,31.24
1787261,1472415,10.28,0,0,64.78
1426607,217558,7.73,1,1,27.39
1168021,1033061,14.08,1,0,68.62
1367756,346412,9.65,1,1,31.13
266234,157338,9.24,1,0,48.15
1812818,524551,13.5,1,0,37.82
378352,338480,8.12,1,0,61.0
1328035,840073,13.17,1,0,55.04
609995,1185708,6.22,1,0,100.0
395004,1393679,6.83,0,0,100.0
666152,194378,14.51,0,0,48.56
1973832,227254,13.42,1,0,28.06
1307739,648411,8.88,1,1,38.83
1724429,77197,11.38,0,0,24.43
251934,726079,14.43,0,0,100.0
1968831,1057705,7.12,1,0,41.65
625523,158775,5.59,1,1,26.19
1040530,896056,10.37,1,1,63.03
1702713,914609,6.43,1,1,35.12
205486,878396,6.87,0,0,100.0
1387983,735388,13.92,1,0,55.67
1073332,1209606,5.07,1,0,62.2
1898884,366790,13.17,1,0,32.71
1239458,1155323,10.17,1,0,66.71
1875659,95712,10.59,1,1,23.2
420184,449489,11.72,1,0,79.45
866490,383964,9.31,0,0,39.65
1598228,175342,6.16,0,0,19.44
1891188,386497,6.03,0,0,24.32
